%dict_expr_name%
34,Lac,乳糖
35,Malt,麦芽糖
44,Sor,山梨醇
30,Dul,卫矛醇
38,Mel,蜜二糖
46,Tre,海藻糖
29,Cel,纤维二糖
22,ONPG,ONPG
15,Esc,七叶苷
14,Malo,丙二酸盐
4,Cit,柠檬酸盐
6,Ure,尿酶
1,Ind,吲哚
2,MR,MR
7,Phe,苯丙氨酸脱氨
26,Ado,侧金盏花醇
42,Rha,鼠李糖
47,Xyl,木糖
27,Ara,阿拉伯糖
5,H2S,H2S
8,Lys,赖氨酸
10,Orn,鸟氨酸
%end%


%list_data_base%
63,99,0,12,33,33,0,70,9,64,65,0,19,37,24,61,56,0,0,100,0,70,25,100,82,18,97,20,50,30,0,48,0,30,95,82,99,36,4,58,34,88,31,28,20,93,94
98,99,0,1,1,1,0,90,17,65,95,0,3,0,35,95,90,0,0,100,0,95,0,100,95,5,99,5,2,60,0,75,1,95,95,98,98,75,0,95,50,80,40,94,50,98,95
80,95,0,1,1,1,0,40,3,20,5,0,1,0,5,85,40,0,0,98,0,45,0,100,5,3,85,5,2,40,0,65,1,25,80,93,97,40,0,30,15,65,10,75,15,90,70
0,100,0,50,0,0,0,100,0,100,0,0,0,100,0,50,0,0,0,100,0,0,0,100,100,0,100,0,0,0,0,100,0,0,100,0,100,0,0,50,0,100,0,0,0,75,100
98,100,0,17,0,0,0,95,5,100,93,0,0,35,46,96,96,0,0,100,0,83,0,100,95,98,98,100,96,60,0,20,0,0,96,98,100,0,0,0,0,92,65,0,0,96,96
99,100,0,1,0,0,0,6,0,100,99,0,94,0,40,35,78,0,0,100,0,98,98,100,97,0,100,8,97,19,0,3,0,45,100,100,100,0,0,97,40,97,40,0,45,100,100
0,100,0,0,0,0,0,85,30,0,100,0,15,85,20,2,30,0,0,100,0,100,50,100,97,0,100,0,100,0,0,25,0,15,100,100,100,100,25,78,99,93,30,1,8,100,100
0,93,0,0,80,33,0,0,0,0,27,0,0,0,0,27,0,0,0,100,0,93,0,100,53,0,80,27,0,0,0,0,0,87,0,60,0,0,0,20,0,100,0,0,0,0,93
5,100,0,27,0,0,29,14,12,45,91,0,69,80,100,38,0,0,0,100,0,100,0,100,91,24,100,21,100,0,0,23,10,38,94,100,100,38,10,72,33,90,100,14,0,100,100
0,100,0,100,0,0,0,0,0,100,100,0,80,60,100,60,0,0,0,100,0,100,0,100,100,0,100,0,100,0,0,60,0,100,100,100,100,100,0,100,100,100,100,0,0,100,100
0,100,0,0,0,0,0,0,0,33,100,0,100,100,100,0,0,0,0,100,0,100,0,100,100,67,100,67,100,0,0,67,0,0,100,100,100,100,0,67,100,33,100,0,0,100,100
0,100,0,0,0,0,0,100,0,80,60,0,40,0,100,0,0,0,0,100,0,100,0,100,100,0,100,0,100,0,0,0,0,0,100,100,100,0,40,60,0,100,100,100,0,100,100
0,100,0,20,0,0,0,0,20,0,80,0,60,100,100,40,0,0,0,100,0,100,0,100,40,100,100,80,100,0,0,0,0,60,60,100,100,0,0,80,0,100,100,0,0,100,100
0,100,0,0,0,0,0,0,0,100,100,0,67,100,100,67,0,0,0,100,0,100,0,100,100,0,100,0,100,0,0,33,0,100,100,100,100,67,0,100,33,100,100,0,0,100,100
33,100,0,33,0,0,100,0,67,0,100,0,100,100,100,100,0,0,0,100,0,100,0,100,100,0,100,0,100,0,0,0,0,0,100,100,100,0,33,100,0,100,100,0,0,100,100
0,100,0,33,0,0,100,0,0,0,100,0,33,100,100,0,0,0,0,100,0,100,0,100,100,0,100,0,100,0,0,0,67,0,100,100,100,0,0,0,0,100,100,0,0,100,100
0,88,56,99,0,0,0,0,76,29,95,0,90,58,89,0,32,88,0,100,0,98,0,100,94,0,0,100,100,0,0,0,0,23,100,100,100,40,11,0,42,0,100,40,70,100,80
0,100,50,95,0,0,0,0,50,95,95,0,85,91,45,0,0,91,0,100,0,90,0,100,70,0,0,100,100,0,0,0,0,19,100,100,100,0,5,0,10,0,99,0,100,100,100
0,40,80,99,0,0,0,0,80,0,80,0,100,99,100,0,60,100,0,100,0,99,0,100,100,0,0,100,100,0,0,0,0,60,100,100,100,0,0,0,0,0,100,0,0,100,0
